,temperature,humidity,P1,P2,timestamp_new
323,26.0,,,,2023-02-04 07:56:23+00:00
325,26.0,,,,2023-02-04 07:59:04+00:00
331,27.0,,,,2023-02-04 08:01:44+00:00
335,27.0,,,,2023-02-04 08:04:24+00:00
339,27.0,,,,2023-02-04 08:07:04+00:00
341,27.0,,,,2023-02-04 08:09:44+00:00
345,28.0,,,,2023-02-04 08:12:24+00:00
351,28.0,,,,2023-02-04 08:15:05+00:00
353,28.0,,,,2023-02-04 08:17:45+00:00
357,29.0,,,,2023-02-04 08:20:25+00:00
363,29.0,,,,2023-02-04 08:23:06+00:00
365,29.0,,,,2023-02-04 08:25:46+00:00
371,29.0,,,,2023-02-04 08:28:25+00:00
375,29.0,,,,2023-02-04 08:31:06+00:00
377,29.0,,,,2023-02-04 08:33:45+00:00
381,29.0,,,,2023-02-04 08:36:26+00:00
385,29.0,,,,2023-02-04 08:39:06+00:00
389,29.0,,,,2023-02-04 08:41:46+00:00
393,30.0,,,,2023-02-04 08:44:26+00:00
397,30.0,,,,2023-02-04 08:47:06+00:00
403,29.0,,,,2023-02-04 08:49:47+00:00
405,29.0,,,,2023-02-04 08:52:27+00:00
409,29.0,,,,2023-02-04 08:55:07+00:00
413,29.0,,,,2023-02-04 08:57:47+00:00
419,29.0,,,,2023-02-04 09:00:28+00:00
421,29.0,,,,2023-02-04 09:03:08+00:00
427,29.0,,,,2023-02-04 09:05:47+00:00
431,29.0,,,,2023-02-04 09:08:28+00:00
433,30.0,,,,2023-02-04 09:11:08+00:00
437,30.0,,,,2023-02-04 09:13:48+00:00
443,30.0,,,,2023-02-04 09:16:28+00:00
447,30.0,,,,2023-02-04 09:19:08+00:00
451,30.0,,,,2023-02-04 09:21:49+00:00
455,30.0,,,,2023-02-04 09:24:30+00:00
459,30.0,,,,2023-02-04 09:27:09+00:00
461,31.0,,,,2023-02-04 09:29:49+00:00
467,31.0,,,,2023-02-04 09:32:29+00:00
469,31.0,,,,2023-02-04 09:35:09+00:00
475,31.0,,,,2023-02-04 09:37:49+00:00
479,31.0,,,,2023-02-04 09:40:35+00:00
481,32.0,,,,2023-02-04 09:43:09+00:00
487,32.0,,,,2023-02-04 09:45:50+00:00
491,32.0,,,,2023-02-04 09:48:30+00:00
495,32.0,,,,2023-02-04 09:51:10+00:00
497,31.0,,,,2023-02-04 09:53:50+00:00
501,30.0,,,,2023-02-04 09:56:31+00:00
507,30.0,,,,2023-02-04 09:59:11+00:00
509,30.0,,,,2023-02-04 10:01:50+00:00
513,30.0,,,,2023-02-04 10:04:30+00:00
517,30.0,,,,2023-02-04 10:07:11+00:00
521,30.0,,,,2023-02-04 10:09:51+00:00
527,30.0,,,,2023-02-04 10:12:31+00:00
529,31.0,,,,2023-02-04 10:15:11+00:00
535,31.0,,,,2023-02-04 10:17:52+00:00
537,32.0,,,,2023-02-04 10:20:31+00:00
541,33.0,,,,2023-02-04 10:23:12+00:00
545,33.0,,,,2023-02-04 10:25:52+00:00
551,33.0,,,,2023-02-04 10:28:32+00:00
553,34.0,,,,2023-02-04 10:31:12+00:00
559,34.0,,,,2023-02-04 10:33:53+00:00
561,34.0,,,,2023-02-04 10:36:33+00:00
565,35.0,,,,2023-02-04 10:39:13+00:00
571,35.0,,,,2023-02-04 10:41:53+00:00
573,34.0,,,,2023-02-04 10:44:33+00:00
577,34.0,,,,2023-02-04 10:47:13+00:00
581,34.0,,,,2023-02-04 10:49:53+00:00
585,34.0,,,,2023-02-04 10:52:34+00:00
589,34.0,,,,2023-02-04 10:55:14+00:00
595,34.0,,,,2023-02-04 10:57:54+00:00
599,34.0,,,,2023-02-04 11:00:34+00:00
601,34.0,,,,2023-02-04 11:03:14+00:00
605,34.0,,,,2023-02-04 11:05:54+00:00
609,34.0,,,,2023-02-04 11:08:34+00:00
613,33.0,,,,2023-02-04 11:11:15+00:00
617,33.0,,,,2023-02-04 11:13:55+00:00
623,33.0,,,,2023-02-04 11:16:35+00:00
627,32.0,,,,2023-02-04 11:19:15+00:00
631,32.0,,,,2023-02-04 11:21:56+00:00
633,32.0,,,,2023-02-04 11:24:35+00:00
637,32.0,,,,2023-02-04 11:27:15+00:00
641,32.0,,,,2023-02-04 11:29:56+00:00
645,32.0,,,,2023-02-04 11:32:36+00:00
649,32.0,,,,2023-02-04 11:35:15+00:00
653,33.0,,,,2023-02-04 11:37:56+00:00
659,33.0,,,,2023-02-04 11:40:36+00:00
663,34.0,,,,2023-02-04 11:43:16+00:00
667,34.0,,,,2023-02-04 11:45:56+00:00
671,34.0,,,,2023-02-04 11:48:37+00:00
673,34.0,,,,2023-02-04 11:51:17+00:00
677,34.0,,,,2023-02-04 11:53:57+00:00
681,34.0,,,,2023-02-04 11:56:37+00:00
687,33.0,,,,2023-02-04 11:59:17+00:00
689,33.0,,,,2023-02-04 12:01:57+00:00
693,33.0,,,,2023-02-04 12:04:37+00:00
697,34.0,,,,2023-02-04 12:07:18+00:00
703,34.0,,,,2023-02-04 12:09:58+00:00
705,34.0,,,,2023-02-04 12:12:38+00:00
711,34.0,,,,2023-02-04 12:15:18+00:00
713,34.0,,,,2023-02-04 12:17:59+00:00
719,34.0,,,,2023-02-04 12:20:38+00:00
721,34.0,,,,2023-02-04 12:23:18+00:00
727,35.0,,,,2023-02-04 12:25:59+00:00
729,36.0,,,,2023-02-04 12:28:39+00:00
735,36.0,,,,2023-02-04 12:31:19+00:00
739,36.0,,,,2023-02-04 12:33:59+00:00
741,34.0,,,,2023-02-04 12:36:39+00:00
747,33.0,,,,2023-02-04 12:39:19+00:00
751,33.0,,,,2023-02-04 12:42:00+00:00
755,33.0,,,,2023-02-04 12:44:40+00:00
757,33.0,,,,2023-02-04 12:47:19+00:00
761,34.0,,,,2023-02-04 12:50:00+00:00
765,33.0,,,,2023-02-04 12:52:40+00:00
771,33.0,,,,2023-02-04 12:55:20+00:00
775,33.0,,,,2023-02-04 12:58:00+00:00
777,33.0,,,,2023-02-04 13:00:41+00:00
783,33.0,,,,2023-02-04 13:03:24+00:00
785,32.0,,,,2023-02-04 13:06:01+00:00
789,32.0,,,,2023-02-04 13:08:41+00:00
793,32.0,,,,2023-02-04 13:11:21+00:00
797,31.0,,,,2023-02-04 13:14:01+00:00
801,31.0,,,,2023-02-04 13:16:41+00:00
807,31.0,,,,2023-02-04 13:19:21+00:00
809,31.0,,,,2023-02-04 13:22:02+00:00
813,31.0,,,,2023-02-04 13:24:41+00:00
817,31.0,,,,2023-02-04 13:27:22+00:00
821,32.0,,,,2023-02-04 13:30:02+00:00
825,32.0,,,,2023-02-04 13:32:43+00:00
831,32.0,,,,2023-02-04 13:35:22+00:00
835,33.0,,,,2023-02-04 13:38:02+00:00
839,33.0,,,,2023-02-04 13:40:42+00:00
843,34.0,,,,2023-02-04 13:43:22+00:00
847,34.0,,,,2023-02-04 13:46:03+00:00
851,35.0,,,,2023-02-04 13:48:42+00:00
855,35.0,,,,2023-02-04 13:51:23+00:00
857,35.0,,,,2023-02-04 13:54:03+00:00
863,34.0,,,,2023-02-04 13:56:44+00:00
865,34.0,,,,2023-02-04 13:59:23+00:00
871,33.0,,,,2023-02-04 14:02:04+00:00
873,32.0,,,,2023-02-04 14:04:44+00:00
879,31.0,,,,2023-02-04 14:07:25+00:00
883,31.0,,,,2023-02-04 14:10:04+00:00
885,32.0,,,,2023-02-04 14:12:44+00:00
889,33.0,,,,2023-02-04 14:15:25+00:00
893,34.0,,,,2023-02-04 14:18:05+00:00
897,35.0,,,,2023-02-04 14:20:45+00:00
901,36.0,,,,2023-02-04 14:23:25+00:00
905,36.0,,,,2023-02-04 14:26:05+00:00
909,36.0,,,,2023-02-04 14:28:45+00:00
913,35.0,,,,2023-02-04 14:31:25+00:00
919,34.0,,,,2023-02-04 14:34:06+00:00
921,33.0,,,,2023-02-04 14:36:45+00:00
927,32.0,,,,2023-02-04 14:39:26+00:00
929,31.0,,,,2023-02-04 14:42:06+00:00
933,31.0,,,,2023-02-04 14:44:46+00:00
939,31.0,,,,2023-02-04 14:47:26+00:00
943,31.0,,,,2023-02-04 14:50:06+00:00
947,31.0,,,,2023-02-04 14:52:46+00:00
949,30.0,,,,2023-02-04 14:55:27+00:00
955,30.0,,,,2023-02-04 14:58:07+00:00
959,30.0,,,,2023-02-04 15:00:48+00:00
963,30.0,,,,2023-02-04 15:03:27+00:00
965,30.0,,,,2023-02-04 15:06:07+00:00
969,30.0,,,,2023-02-04 15:08:48+00:00
973,30.0,,,,2023-02-04 15:11:28+00:00
977,30.0,,,,2023-02-04 15:14:08+00:00
981,29.0,,,,2023-02-04 15:16:48+00:00
987,29.0,,,,2023-02-04 15:19:28+00:00
989,29.0,,,,2023-02-04 15:22:08+00:00
995,28.0,,,,2023-02-04 15:24:48+00:00
999,28.0,,,,2023-02-04 15:27:28+00:00
1003,28.0,,,,2023-02-04 15:30:09+00:00
1005,28.0,,,,2023-02-04 15:32:49+00:00
1009,27.0,,,,2023-02-04 15:35:29+00:00
1013,27.0,,,,2023-02-04 15:38:09+00:00
1019,27.0,,,,2023-02-04 15:40:49+00:00
1023,27.0,,,,2023-02-04 15:43:30+00:00
1027,27.0,,,,2023-02-04 15:46:10+00:00
1029,27.0,,,,2023-02-04 15:48:50+00:00
1033,26.0,,,,2023-02-04 15:51:30+00:00
1039,26.0,,,,2023-02-04 15:54:10+00:00
1043,26.0,,,,2023-02-04 15:56:50+00:00
1045,26.0,,,,2023-02-04 15:59:31+00:00
1049,26.0,,,,2023-02-04 16:02:11+00:00
1055,26.0,,,,2023-02-04 16:04:51+00:00
1059,26.0,,,,2023-02-04 16:07:31+00:00
1063,25.0,,,,2023-02-04 16:10:11+00:00
1065,25.0,,,,2023-02-04 16:12:51+00:00
1069,25.0,,,,2023-02-04 16:15:31+00:00
1075,25.0,,,,2023-02-04 16:18:11+00:00
1079,25.0,,,,2023-02-04 16:20:51+00:00
1081,25.0,,,,2023-02-04 16:23:32+00:00
1087,25.0,,,,2023-02-04 16:26:12+00:00
1089,25.0,,,,2023-02-04 16:28:52+00:00
1095,25.0,,,,2023-02-04 16:31:32+00:00
1099,25.0,,,,2023-02-04 16:34:12+00:00
1101,25.0,,,,2023-02-04 16:36:52+00:00
1107,24.0,,,,2023-02-04 16:39:32+00:00
1111,24.0,,,,2023-02-04 16:42:13+00:00
1115,24.0,,,,2023-02-04 16:44:53+00:00
1119,24.0,,,,2023-02-04 16:47:33+00:00
1121,24.0,,,,2023-02-04 16:50:13+00:00
1127,24.0,,,,2023-02-04 16:52:53+00:00
1131,24.0,,,,2023-02-04 16:55:33+00:00
1135,24.0,,,,2023-02-04 16:58:13+00:00
1139,24.0,,,,2023-02-04 17:00:54+00:00
1143,24.0,,,,2023-02-04 17:03:34+00:00
1147,24.0,,,,2023-02-04 17:06:14+00:00
1149,24.0,,,,2023-02-04 17:08:54+00:00
1155,24.0,,,,2023-02-04 17:11:34+00:00
1159,24.0,,,,2023-02-04 17:14:14+00:00
1161,23.0,,,,2023-02-04 17:16:55+00:00
1165,23.0,,,,2023-02-04 17:19:35+00:00
1169,23.0,,,,2023-02-04 17:22:15+00:00
1173,23.0,,,,2023-02-04 17:24:55+00:00
1179,23.0,,,,2023-02-04 17:27:35+00:00
1183,23.0,,,,2023-02-04 17:30:15+00:00
1187,23.0,,,,2023-02-04 17:32:55+00:00
1189,23.0,,,,2023-02-04 17:35:35+00:00
1193,23.0,,,,2023-02-04 17:38:16+00:00
1197,23.0,,,,2023-02-04 17:40:56+00:00
1201,23.0,,,,2023-02-04 17:43:35+00:00
1205,23.0,,,,2023-02-04 17:46:15+00:00
1209,23.0,,,,2023-02-04 17:48:56+00:00
1215,23.0,,,,2023-02-04 17:51:36+00:00
1217,23.0,,,,2023-02-04 17:54:16+00:00
1223,23.0,,,,2023-02-04 17:56:57+00:00
1227,23.0,,,,2023-02-04 17:59:37+00:00
1229,23.0,,,,2023-02-04 18:02:17+00:00
1233,23.0,,,,2023-02-04 18:04:57+00:00
1237,23.0,,,,2023-02-04 18:07:37+00:00
1243,22.0,,,,2023-02-04 18:10:17+00:00
1245,22.0,,,,2023-02-04 18:12:58+00:00
1249,22.0,,,,2023-02-04 18:15:38+00:00
1253,22.0,,,,2023-02-04 18:18:18+00:00
1259,22.0,,,,2023-02-04 18:20:58+00:00
1263,22.0,,,,2023-02-04 18:23:38+00:00
1267,22.0,,,,2023-02-04 18:26:20+00:00
1271,22.0,,,,2023-02-04 18:28:58+00:00
1275,22.0,,,,2023-02-04 18:31:39+00:00
1277,22.0,,,,2023-02-04 18:34:19+00:00
1283,22.0,,,,2023-02-04 18:36:59+00:00
1285,21.0,,,,2023-02-04 18:39:39+00:00
1289,21.0,,,,2023-02-04 18:42:19+00:00
1293,21.0,,,,2023-02-04 18:44:59+00:00
1299,21.0,,,,2023-02-04 18:47:39+00:00
1303,21.0,,,,2023-02-04 18:50:20+00:00
1307,21.0,,,,2023-02-04 18:52:59+00:00
1309,21.0,,,,2023-02-04 18:55:39+00:00
1315,21.0,,,,2023-02-04 18:58:20+00:00
1319,21.0,,,,2023-02-04 19:01:01+00:00
1323,21.0,,,,2023-02-04 19:03:40+00:00
1325,20.0,,,,2023-02-04 19:06:20+00:00
1331,20.0,,,,2023-02-04 19:09:01+00:00
1333,20.0,,,,2023-02-04 19:11:41+00:00
1337,20.0,,,,2023-02-04 19:14:21+00:00
1343,20.0,,,,2023-02-04 19:17:01+00:00
1347,20.0,,,,2023-02-04 19:19:41+00:00
1349,20.0,,,,2023-02-04 19:22:21+00:00
1355,20.0,,,,2023-02-04 19:25:01+00:00
1357,20.0,,,,2023-02-04 19:27:42+00:00
1363,19.0,,,,2023-02-04 19:30:27+00:00
1367,19.0,,,,2023-02-04 19:33:01+00:00
1369,19.0,,,,2023-02-04 19:35:42+00:00
1375,19.0,,,,2023-02-04 19:38:22+00:00
1377,19.0,,,,2023-02-04 19:41:02+00:00
1381,19.0,,,,2023-02-04 19:43:43+00:00
1387,19.0,,,,2023-02-04 19:46:23+00:00
1389,19.0,,,,2023-02-04 19:49:02+00:00
1393,19.0,,,,2023-02-04 19:51:43+00:00
1397,19.0,,,,2023-02-04 19:54:23+00:00
1401,19.0,,,,2023-02-04 19:57:03+00:00
1405,19.0,,,,2023-02-04 19:59:43+00:00
1411,19.0,,,,2023-02-04 20:02:24+00:00
1415,19.0,,,,2023-02-04 20:05:03+00:00
1417,19.0,,,,2023-02-04 20:07:43+00:00
1423,19.0,,,,2023-02-04 20:10:24+00:00
1425,19.0,,,,2023-02-04 20:13:04+00:00
1431,18.0,,,,2023-02-04 20:15:46+00:00
1435,18.0,,,,2023-02-04 20:18:24+00:00
1439,18.0,,,,2023-02-04 20:21:05+00:00
1443,18.0,,,,2023-02-04 20:23:45+00:00
1445,18.0,,,,2023-02-04 20:26:24+00:00
1451,18.0,,,,2023-02-04 20:29:05+00:00
1453,18.0,,,,2023-02-04 20:31:45+00:00
1457,18.0,,,,2023-02-04 20:34:25+00:00
1463,18.0,,,,2023-02-04 20:37:06+00:00
1465,18.0,,,,2023-02-04 20:39:45+00:00
1471,17.0,,,,2023-02-04 20:42:26+00:00
1473,17.0,,,,2023-02-04 20:45:05+00:00
1477,17.0,,,,2023-02-04 20:47:46+00:00
1481,17.0,,,,2023-02-04 20:50:26+00:00
1485,17.0,,,,2023-02-04 20:53:06+00:00
1491,17.0,,,,2023-02-04 20:55:47+00:00
1493,17.0,,,,2023-02-04 20:58:27+00:00
1497,17.0,,,,2023-02-04 21:01:07+00:00
1501,17.0,,,,2023-02-04 21:03:47+00:00
1507,17.0,,,,2023-02-04 21:06:27+00:00
1509,17.0,,,,2023-02-04 21:09:07+00:00
1513,17.0,,,,2023-02-04 21:11:47+00:00
1517,17.0,,,,2023-02-04 21:14:28+00:00
1521,17.0,,,,2023-02-04 21:17:07+00:00
1527,17.0,,,,2023-02-04 21:19:48+00:00
1531,17.0,,,,2023-02-04 21:22:27+00:00
1535,17.0,,,,2023-02-04 21:25:07+00:00
1539,17.0,,,,2023-02-04 21:27:48+00:00
1543,17.0,,,,2023-02-04 21:30:29+00:00
1547,17.0,,,,2023-02-04 21:33:09+00:00
1549,17.0,,,,2023-02-04 21:35:48+00:00
1555,17.0,,,,2023-02-04 21:38:29+00:00
1559,17.0,,,,2023-02-04 21:41:09+00:00
1563,17.0,,,,2023-02-04 21:43:49+00:00
1565,17.0,,,,2023-02-04 21:46:29+00:00
1569,17.0,,,,2023-02-04 21:49:09+00:00
1575,17.0,,,,2023-02-04 21:51:49+00:00
1579,17.0,,,,2023-02-04 21:54:30+00:00
1583,17.0,,,,2023-02-04 21:57:10+00:00
1585,17.0,,,,2023-02-04 21:59:50+00:00
1589,17.0,,,,2023-02-04 22:02:30+00:00
1593,17.0,,,,2023-02-04 22:05:11+00:00
1597,17.0,,,,2023-02-04 22:07:51+00:00
1601,17.0,,,,2023-02-04 22:10:31+00:00
1605,16.0,,,,2023-02-04 22:13:11+00:00
1609,16.0,,,,2023-02-04 22:15:51+00:00
1613,16.0,,,,2023-02-04 22:18:31+00:00
1617,16.0,,,,2023-02-04 22:21:11+00:00
1621,16.0,,,,2023-02-04 22:23:51+00:00
1625,16.0,,,,2023-02-04 22:26:31+00:00
1631,16.0,,,,2023-02-04 22:29:11+00:00
1635,16.0,,,,2023-02-04 22:31:52+00:00
1637,16.0,,,,2023-02-04 22:34:32+00:00
1643,16.0,,,,2023-02-04 22:37:12+00:00
1645,16.0,,,,2023-02-04 22:39:52+00:00
1649,16.0,,,,2023-02-04 22:42:32+00:00
1653,16.0,,,,2023-02-04 22:45:12+00:00
1657,16.0,,,,2023-02-04 22:47:53+00:00
1663,16.0,,,,2023-02-04 22:50:33+00:00
1667,16.0,,,,2023-02-04 22:53:14+00:00
1669,16.0,,,,2023-02-04 22:55:53+00:00
1673,16.0,,,,2023-02-04 22:58:33+00:00
1677,16.0,,,,2023-02-04 23:01:13+00:00
1681,16.0,,,,2023-02-04 23:03:53+00:00
1685,16.0,,,,2023-02-04 23:06:34+00:00
1689,16.0,,,,2023-02-04 23:09:14+00:00
1695,16.0,,,,2023-02-04 23:11:54+00:00
1699,16.0,,,,2023-02-04 23:14:34+00:00
1701,16.0,,,,2023-02-04 23:17:14+00:00
1707,16.0,,,,2023-02-04 23:19:54+00:00
1709,16.0,,,,2023-02-04 23:22:34+00:00
1715,16.0,,,,2023-02-04 23:25:15+00:00
1719,16.0,,,,2023-02-04 23:27:55+00:00
1721,16.0,,,,2023-02-04 23:30:35+00:00
1727,16.0,,,,2023-02-04 23:33:15+00:00
1731,16.0,,,,2023-02-04 23:35:55+00:00
1735,16.0,,,,2023-02-04 23:38:36+00:00
1737,15.0,,,,2023-02-04 23:41:15+00:00
1743,15.0,,,,2023-02-04 23:43:56+00:00
1747,15.0,,,,2023-02-04 23:46:36+00:00
1751,15.0,,,,2023-02-04 23:49:16+00:00
1755,15.0,,,,2023-02-04 23:51:56+00:00
1759,15.0,,,,2023-02-04 23:54:36+00:00
1763,15.0,,,,2023-02-04 23:57:16+00:00
1767,15.0,,,,2023-02-04 23:59:56+00:00
1769,15.0,,,,2023-02-05 00:02:37+00:00
1773,15.0,,,,2023-02-05 00:05:16+00:00
1777,15.0,,,,2023-02-05 00:07:57+00:00
1783,15.0,,,,2023-02-05 00:10:37+00:00
1785,15.0,,,,2023-02-05 00:13:17+00:00
1789,15.0,,,,2023-02-05 00:15:57+00:00
1793,15.0,,,,2023-02-05 00:18:38+00:00
1799,15.0,,,,2023-02-05 00:21:18+00:00
1803,15.0,,,,2023-02-05 00:23:58+00:00
1805,14.0,,,,2023-02-05 00:26:37+00:00
1809,14.0,,,,2023-02-05 00:29:18+00:00
1813,14.0,,,,2023-02-05 00:31:58+00:00
1819,14.0,,,,2023-02-05 00:34:38+00:00
1821,14.0,,,,2023-02-05 00:37:19+00:00
1827,14.0,,,,2023-02-05 00:39:59+00:00
1829,14.0,,,,2023-02-05 00:42:39+00:00
1833,14.0,,,,2023-02-05 00:45:18+00:00
1837,14.0,,,,2023-02-05 00:47:59+00:00
1841,14.0,,,,2023-02-05 00:50:39+00:00
1845,14.0,,,,2023-02-05 00:53:19+00:00
1849,14.0,,,,2023-02-05 00:55:59+00:00
1855,14.0,,,,2023-02-05 00:58:39+00:00
1859,14.0,,,,2023-02-05 01:01:20+00:00
1863,14.0,,,,2023-02-05 01:04:00+00:00
1865,14.0,,,,2023-02-05 01:06:40+00:00
1871,14.0,,,,2023-02-05 01:09:20+00:00
1875,14.0,,,,2023-02-05 01:12:00+00:00
1879,14.0,,,,2023-02-05 01:14:42+00:00
1883,14.0,,,,2023-02-05 01:17:20+00:00
1885,13.0,,,,2023-02-05 01:20:01+00:00
1889,13.0,,,,2023-02-05 01:22:41+00:00
1893,13.0,,,,2023-02-05 01:25:20+00:00
1897,13.0,,,,2023-02-05 01:28:01+00:00
1901,13.0,,,,2023-02-05 01:30:41+00:00
1905,13.0,,,,2023-02-05 01:33:21+00:00
1909,13.0,,,,2023-02-05 01:36:01+00:00
1913,13.0,,,,2023-02-05 01:38:42+00:00
1919,13.0,,,,2023-02-05 01:41:22+00:00
1921,13.0,,,,2023-02-05 01:44:02+00:00
1925,13.0,,,,2023-02-05 01:46:43+00:00
1931,13.0,,,,2023-02-05 01:49:22+00:00
1935,13.0,,,,2023-02-05 01:52:03+00:00
1937,13.0,,,,2023-02-05 01:54:43+00:00
1943,13.0,,,,2023-02-05 01:57:23+00:00
1945,13.0,,,,2023-02-05 02:00:03+00:00
1951,13.0,,,,2023-02-05 02:02:43+00:00
1953,13.0,,,,2023-02-05 02:05:23+00:00
1957,13.0,,,,2023-02-05 02:08:04+00:00
1963,13.0,,,,2023-02-05 02:10:44+00:00
1967,13.0,,,,2023-02-05 02:13:24+00:00
1969,13.0,,,,2023-02-05 02:16:04+00:00
1975,13.0,,,,2023-02-05 02:18:44+00:00
1979,12.0,,,,2023-02-05 02:21:24+00:00
1983,12.0,,,,2023-02-05 02:24:04+00:00
1987,12.0,,,,2023-02-05 02:26:45+00:00
1989,12.0,,,,2023-02-05 02:29:24+00:00
1993,12.0,,,,2023-02-05 02:32:05+00:00
1997,12.0,,,,2023-02-05 02:34:45+00:00
2003,12.0,,,,2023-02-05 02:37:25+00:00
2005,12.0,,,,2023-02-05 02:40:05+00:00
2009,12.0,,,,2023-02-05 02:42:45+00:00
2015,12.0,,,,2023-02-05 02:45:25+00:00
2017,12.0,,,,2023-02-05 02:48:05+00:00
2023,12.0,,,,2023-02-05 02:50:46+00:00
2025,12.0,,,,2023-02-05 02:53:26+00:00
2031,12.0,,,,2023-02-05 02:56:14+00:00
2033,12.0,,,,2023-02-05 02:58:46+00:00
2039,12.0,,,,2023-02-05 03:01:27+00:00
2041,12.0,,,,2023-02-05 03:04:06+00:00
2047,12.0,,,,2023-02-05 03:06:46+00:00
2051,12.0,,,,2023-02-05 03:09:27+00:00
2055,12.0,,,,2023-02-05 03:12:07+00:00
2057,12.0,,,,2023-02-05 03:14:47+00:00
2063,12.0,,,,2023-02-05 03:17:27+00:00
2065,12.0,,,,2023-02-05 03:20:07+00:00
2069,12.0,,,,2023-02-05 03:22:47+00:00
2075,12.0,,,,2023-02-05 03:25:28+00:00
2079,12.0,,,,2023-02-05 03:28:08+00:00
2083,12.0,,,,2023-02-05 03:30:48+00:00
2085,12.0,,,,2023-02-05 03:33:28+00:00
2091,12.0,,,,2023-02-05 03:36:08+00:00
2095,11.0,,,,2023-02-05 03:38:49+00:00
2099,11.0,,,,2023-02-05 03:41:29+00:00
2101,11.0,,,,2023-02-05 03:44:09+00:00
